Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
LOON,0.0,,0,0,0,,3043.73266666667,0,3043.73266666667,0.048,Casing Pressure,3674.08204839304
LOON,1.0,,12.72907,0,286,,4572.924,0,4572.924,1161.2975,Casing Pressure,5749.8940131175
LOON,2.0,,36.93336,0,775,,8118.279,0,8118.279,1226.5505,Casing Pressure,9784.41276484488
LOON,3.0,,38.93704,0,770,,8181.457,0,8181.457,1216.755,Casing Pressure,9859.22795446442
LOON,4.0,,40.50459,0,99.59,,8161.937,0,8161.937,1236.557,Casing Pressure,9612.42850929774
LOON,5.0,,39.40364,0,0.28,,8130.993,0,8130.993,1251.571,Casing Pressure,9525.62676490514
LOON,6.0,,40.35109,0,592,,8096.634,0,8096.634,1256.2475,Casing Pressure,9735.91722460357
LOON,7.0,,35.546,0,433.73,,8044.457,0,8044.457,1266.3295,Casing Pressure,9615.59724686941
LOON,8.0,,35.99065,0,188.45,,6990.912,0,6990.912,1266.372,Casing Pressure,8409.0989769952
LOON,9.0,,38.54747,0,310.19,,8093.549,0,8093.549,1254.878,Casing Pressure,9653.97330864798
LOON,10.0,,39.01843,0,275.23,,8059.521,0,8059.521,1261.141,Casing Pressure,9611.07980755853
LOON,11.0,,31.95541,0,236.99,,8075.91,0,8075.91,1182.383,Casing Pressure,9576.85066366003
LOON,12.0,,35.48254,0,267.11,,8105.179,0,8105.179,1231.232,Casing Pressure,9635.840203662
LOON,13.0,,37.8918,0,300.66,,8040.053,0,8040.053,1228.008,Casing Pressure,9590.52521610996
LOON,14.0,,40.48522,0,256.84,,7977.204,0,7977.204,1238.7155,Casing Pressure,9526.27828257619
LOON,15.0,,40.77684,0,255.07,,7939.217,0,7939.217,1274.042,Casing Pressure,9487.01793237689
LOON,16.0,,41.75429,0,244.98,,7915.724,0,7915.724,1267.713,Casing Pressure,9463.78590761312
LOON,17.0,,40.65268,0,234.15,,7893.906,0,7893.906,1235.8845,Casing Pressure,9428.66998312608
LOON,18.0,,36.76967,0,235.02,,7866.463,0,7866.463,1158.866,Casing Pressure,9377.49597470055
LOON,19.0,,43.09779,0,217.99,,7882.525,0,7882.525,1257.9225,Casing Pressure,9422.20788260059
LOON,20.0,,39.94206,0,211.81,,7837.854,0,7837.854,1284.781,Casing Pressure,9352.94141933726
